INFO: 2021-12-10 00:40:00,029:  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
DEBUG: 2021-12-10 00:40:03,143: Data is being requested from the API
DEBUG: 2021-12-10 00:40:03,152: Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG: 2021-12-10 00:40:03,474: https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaName%3DExeter%3BareaType%3Dltla&structure=%7B%22date%22%3A%22date%22%2C%22areaName%22%3A%22areaName%22%2C%22newCasesBySpecimenDate%22%3A%22newCasesBySpecimenDate%22%7D&format=json&page=1 HTTP/1.1" 200 None
DEBUG: 2021-12-10 00:40:03,481: Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG: 2021-12-10 00:40:03,672: https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaName%3DExeter%3BareaType%3Dltla&structure=%7B%22date%22%3A%22date%22%2C%22areaName%22%3A%22areaName%22%2C%22newCasesBySpecimenDate%22%3A%22newCasesBySpecimenDate%22%7D&format=json&page=2 HTTP/1.1" 204 0
DEBUG: 2021-12-10 00:40:03,683: Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG: 2021-12-10 00:40:03,781: https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaName%3DUnited+Kingdom%3BareaType%3Doverview&structure=%7B%22date%22%3A%22date%22%2C%22areaName%22%3A%22areaName%22%2C%22newCasesBySpecimenDate%22%3A%22newCasesBySpecimenDate%22%2C%22cumDailyNsoDeathsByDeathDate%22%3A%22cumDailyNsoDeathsByDeathDate%22%2C%22hospitalCases%22%3A%22hospitalCases%22%7D&format=json&page=1 HTTP/1.1" 200 None
DEBUG: 2021-12-10 00:40:03,788: Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG: 2021-12-10 00:40:04,095: https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaName%3DUnited+Kingdom%3BareaType%3Doverview&structure=%7B%22date%22%3A%22date%22%2C%22areaName%22%3A%22areaName%22%2C%22newCasesBySpecimenDate%22%3A%22newCasesBySpecimenDate%22%2C%22cumDailyNsoDeathsByDeathDate%22%3A%22cumDailyNsoDeathsByDeathDate%22%2C%22hospitalCases%22%3A%22hospitalCases%22%7D&format=json&page=2 HTTP/1.1" 204 0
DEBUG: 2021-12-10 00:40:04,097: The api has returned the data.
INFO: 2021-12-10 00:40:04,157: The data has been processed.
DEBUG: 2021-12-10 00:40:04,161: Starting new HTTPS connection (1): newsapi.org:443
DEBUG: 2021-12-10 00:40:04,629: https://newsapi.org:443 "GET /v2/top-headlines?q=Covid+COVID-19+coronavirus&language=en HTTP/1.1" 200 None
DEBUG: 2021-12-10 00:40:04,631: News has been succesfully retrieved.
DEBUG: 2021-12-10 00:40:04,631: News has been added to the list.
DEBUG: 2021-12-10 00:40:04,631: News has been added to the server.
DEBUG: 2021-12-10 00:40:04,631: News has been added to the list.
DEBUG: 2021-12-10 00:40:04,631: News has been added to the server.
DEBUG: 2021-12-10 00:40:04,631: News has been added to the list.
DEBUG: 2021-12-10 00:40:04,631: News has been added to the server.
INFO: 2021-12-10 00:40:04,650: 127.0.0.1 - - [10/Dec/2021 00:40:04] "GET /index HTTP/1.1" 200 -
INFO: 2021-12-10 00:40:04,684: 127.0.0.1 - - [10/Dec/2021 00:40:04] "[33mGET /static/images/ HTTP/1.1[0m" 404 -
DEBUG: 2021-12-10 00:40:06,796: Data is being requested from the API
DEBUG: 2021-12-10 00:40:06,800: Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG: 2021-12-10 00:40:06,891: https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaName%3DExeter%3BareaType%3Dltla&structure=%7B%22date%22%3A%22date%22%2C%22areaName%22%3A%22areaName%22%2C%22newCasesBySpecimenDate%22%3A%22newCasesBySpecimenDate%22%7D&format=json&page=1 HTTP/1.1" 200 None
DEBUG: 2021-12-10 00:40:06,897: Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG: 2021-12-10 00:40:06,983: https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaName%3DExeter%3BareaType%3Dltla&structure=%7B%22date%22%3A%22date%22%2C%22areaName%22%3A%22areaName%22%2C%22newCasesBySpecimenDate%22%3A%22newCasesBySpecimenDate%22%7D&format=json&page=2 HTTP/1.1" 204 0
DEBUG: 2021-12-10 00:40:06,989: Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG: 2021-12-10 00:40:07,076: https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaName%3DUnited+Kingdom%3BareaType%3Doverview&structure=%7B%22date%22%3A%22date%22%2C%22areaName%22%3A%22areaName%22%2C%22newCasesBySpecimenDate%22%3A%22newCasesBySpecimenDate%22%2C%22cumDailyNsoDeathsByDeathDate%22%3A%22cumDailyNsoDeathsByDeathDate%22%2C%22hospitalCases%22%3A%22hospitalCases%22%7D&format=json&page=1 HTTP/1.1" 200 None
DEBUG: 2021-12-10 00:40:07,083: Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG: 2021-12-10 00:40:07,171: https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaName%3DUnited+Kingdom%3BareaType%3Doverview&structure=%7B%22date%22%3A%22date%22%2C%22areaName%22%3A%22areaName%22%2C%22newCasesBySpecimenDate%22%3A%22newCasesBySpecimenDate%22%2C%22cumDailyNsoDeathsByDeathDate%22%3A%22cumDailyNsoDeathsByDeathDate%22%2C%22hospitalCases%22%3A%22hospitalCases%22%7D&format=json&page=2 HTTP/1.1" 204 0
DEBUG: 2021-12-10 00:40:07,173: The api has returned the data.
INFO: 2021-12-10 00:40:07,223: The data has been processed.
DEBUG: 2021-12-10 00:40:07,226: Starting new HTTPS connection (1): newsapi.org:443
DEBUG: 2021-12-10 00:40:07,638: https://newsapi.org:443 "GET /v2/top-headlines?q=Covid+COVID-19+coronavirus&language=en HTTP/1.1" 200 None
DEBUG: 2021-12-10 00:40:07,640: News has been succesfully retrieved.
DEBUG: 2021-12-10 00:40:07,640: News that has already been posted is in the list.
DEBUG: 2021-12-10 00:40:07,640: News that has already been posted is in the list.
DEBUG: 2021-12-10 00:40:07,640: News that has already been posted is in the list.
DEBUG: 2021-12-10 00:40:07,640: News has been deleted.
INFO: 2021-12-10 00:40:07,641: 127.0.0.1 - - [10/Dec/2021 00:40:07] "GET /index?notif=Nigeria+records+268+new+COVID-19+cases%2C+toll+now+215%2C164+-+NIGERIAN+TRIBUNE HTTP/1.1" 200 -
INFO: 2021-12-10 00:40:07,659: 127.0.0.1 - - [10/Dec/2021 00:40:07] "[33mGET /static/images/ HTTP/1.1[0m" 404 -
DEBUG: 2021-12-10 00:40:14,475: Data is being requested from the API
DEBUG: 2021-12-10 00:40:14,480: Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG: 2021-12-10 00:40:14,581: https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaName%3DExeter%3BareaType%3Dltla&structure=%7B%22date%22%3A%22date%22%2C%22areaName%22%3A%22areaName%22%2C%22newCasesBySpecimenDate%22%3A%22newCasesBySpecimenDate%22%7D&format=json&page=1 HTTP/1.1" 200 None
DEBUG: 2021-12-10 00:40:14,587: Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG: 2021-12-10 00:40:14,675: https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaName%3DExeter%3BareaType%3Dltla&structure=%7B%22date%22%3A%22date%22%2C%22areaName%22%3A%22areaName%22%2C%22newCasesBySpecimenDate%22%3A%22newCasesBySpecimenDate%22%7D&format=json&page=2 HTTP/1.1" 204 0
DEBUG: 2021-12-10 00:40:14,681: Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG: 2021-12-10 00:40:14,765: https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaName%3DUnited+Kingdom%3BareaType%3Doverview&structure=%7B%22date%22%3A%22date%22%2C%22areaName%22%3A%22areaName%22%2C%22newCasesBySpecimenDate%22%3A%22newCasesBySpecimenDate%22%2C%22cumDailyNsoDeathsByDeathDate%22%3A%22cumDailyNsoDeathsByDeathDate%22%2C%22hospitalCases%22%3A%22hospitalCases%22%7D&format=json&page=1 HTTP/1.1" 200 None
DEBUG: 2021-12-10 00:40:14,772: Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
